Date,Price,Open,High,Low,Vol.,Change %
2/26/2016,432.15,424.63,432.15,421.62,61486000,1.77
2/27/2016,432.52,432.84,434.23,428.1,41893600,-0.07
2/28/2016,433.5,432.57,435.68,423.82,53033400,0.22
2/29/2016,437.7,433.44,441.51,431.69,60694700,0.98
3/1/2016,435.12,437.92,439.65,432.32,74895800,-0.64
3/2/2016,423.99,435.13,435.92,423.99,74955296,-2.56
3/3/2016,421.65,423.91,425.37,419.41,100484000,-0.53
3/4/2016,410.94,421.84,425.18,410.94,90856096,-2.58
3/5/2016,400.57,410.78,411.26,394.04,135384992,-2.49
3/6/2016,407.71,400.52,411.91,395.78,91212496,1.79
3/7/2016,414.32,407.76,415.92,406.31,85762400,1.61
3/8/2016,413.97,414.46,416.24,411.09,70311696,-0.12
3/9/2016,414.86,413.89,416.03,411.61,70012304,0.23
3/10/2016,417.13,414.74,417.51,413.25,81022896,0.58
3/11/2016,421.69,417.24,423.93,417.01,73969696,1.07
3/12/2016,411.62,421.61,421.8,410.09,92712896,-2.37
3/13/2016,414.07,411.65,416.6,411.64,74322800,0.59
3/14/2016,416.44,414.2,416.68,414.2,95259400,0.54
3/15/2016,416.83,416.39,418.13,414.98,66781700,0.11
3/16/2016,417.01,416.89,417.69,415.91,65185800,0.03
3/17/2016,420.62,417.89,421,417.89,83528600,0.65
3/18/2016,409.55,420.55,420.55,406.14,104940000,-2.62
3/19/2016,410.44,409.27,410.98,407.23,58423000,0.29
3/20/2016,413.76,410.4,414.62,410.4,45947900,0.82
3/21/2016,413.31,413.42,413.42,410.38,61655400,-0.03
3/22/2016,418.09,413.13,418.38,412.53,66813300,1.2
3/23/2016,418.04,418.16,419.27,417.36,61444200,-0.03
3/24/2016,416.39,418.42,418.68,415.49,68346704,-0.49
3/25/2016,417.18,416.51,418.08,415.56,52560000,0.16
3/26/2016,417.95,417.36,418.99,416.26,44650400,0.14
3/27/2016,426.77,418.14,428.8,417.71,71229400,2.06
3/28/2016,424.23,426.55,426.86,423.29,68522800,-0.54
3/29/2016,416.52,424.3,426.2,412.68,75411504,-1.84
3/30/2016,414.82,416.83,416.83,412.5,66034100,-0.48
3/31/2016,416.73,415.26,418.37,415.26,60215200,0.35
4/1/2016,417.96,416.76,418.17,415.83,51235700,0.29
4/2/2016,420.87,418.42,422.08,418.42,45681200,0.59
4/3/2016,420.9,421.17,421.58,419.7,38053700,-0.06
4/4/2016,421.44,421.3,422.34,419.6,50634300,0.03
4/5/2016,424.03,421.02,424.26,420.61,60718000,0.72
4/6/2016,423.41,424.28,424.53,422.73,59091000,-0.21
4/7/2016,422.74,423.62,423.66,420.52,57858600,-0.21
4/8/2016,420.35,422.91,425.36,419.64,63454700,-0.6
4/9/2016,419.41,420.81,420.89,416.52,49792700,-0.33
4/10/2016,421.56,419.59,422.43,419.26,73478600,0.47
4/11/2016,422.48,421.87,422.74,420.53,50747500,0.14
4/12/2016,425.19,422.84,427.28,422.84,70728800,0.56
4/13/2016,423.73,425.63,426.66,422.92,69060400,-0.45
4/14/2016,424.28,423.93,425.37,423.01,45281000,0.08
4/15/2016,429.71,424.43,429.93,424.43,54801500,1.25
4/16/2016,430.57,429.58,432.62,428.98,39392800,0.23
4/17/2016,427.4,430.64,431.37,426.08,52125900,-0.75
4/18/2016,428.59,427.61,429.27,427.09,55670900,0.23
4/19/2016,435.51,428.7,436.02,428.1,52810500,1.59
4/20/2016,441.39,435.32,443.05,434.41,72890096,1.39
4/21/2016,449.42,441.42,450.55,440.95,68204704,1.81
4/22/2016,445.74,449.69,449.81,444.15,58804400,-0.88
4/23/2016,450.28,445.86,450.28,444.33,50485400,0.99
4/24/2016,458.55,450.56,460.15,448.93,68198400,1.77
4/25/2016,461.43,459.12,466.62,453.59,87091800,0.5
4/26/2016,466.09,461.65,467.96,461.62,78971904,0.96
4/27/2016,444.69,466.26,467.08,444.13,93564896,-4.63
4/28/2016,449.01,445.04,449.55,436.65,74064704,0.89
4/29/2016,455.1,449.41,455.38,446.02,49258500,1.27
4/30/2016,448.32,455.18,455.59,447.7,69322600,-1.51
5/1/2016,451.88,448.48,452.48,447.93,40660100,0.76
5/2/2016,444.67,451.93,452.45,441.78,92127000,-1.61
5/3/2016,450.3,444.73,451.1,442.62,59366400,1.25
5/4/2016,446.72,450.18,450.38,445.63,50407300,-0.77
5/5/2016,447.98,446.71,448.51,445.88,50440800,0.28
5/6/2016,459.6,447.94,461.38,447.07,72796800,2.6
5/7/2016,458.54,459.64,460.67,457.32,38364500,-0.24
5/8/2016,458.55,458.43,459.42,455.98,40315000,0.03
5/9/2016,460.48,458.21,462.48,456.53,55493100,0.5
5/10/2016,450.89,460.52,461.93,448.95,58956100,-2.09
5/11/2016,452.73,450.86,454.58,450.86,50605200,0.41
5/12/2016,454.77,452.45,454.95,449.25,59849300,0.51
5/13/2016,455.67,454.85,457.05,453.45,60845000,0.18
5/14/2016,455.67,455.82,456.84,454.79,37209000,-0.03
5/15/2016,457.57,455.76,458.69,455.46,28514000,0.4
5/16/2016,454.16,457.59,458.2,452.95,59171500,-0.75
5/17/2016,453.78,454.01,455.07,453.61,64100300,-0.05
5/18/2016,454.62,453.69,456,453.3,86850096,0.2
5/19/2016,438.71,454.52,454.63,438.71,96027400,-3.48
5/20/2016,442.68,437.79,444.05,437.39,81987904,1.12
5/21/2016,443.19,442.97,443.78,441.71,42762300,0.05
5/22/2016,439.32,443.22,443.43,439.04,39657600,-0.88
5/23/2016,444.15,439.35,444.35,438.82,50582500,1.09
5/24/2016,445.98,444.29,447.1,443.93,65783100,0.38
5/25/2016,449.6,446.06,450.3,446.06,65231000,0.79
5/26/2016,453.38,449.67,453.64,447.9,65203800,0.83
5/27/2016,473.46,453.52,478.15,453.52,164780992,4.4
5/28/2016,530.04,473.03,533.47,472.7,181199008,12.05
5/29/2016,526.23,527.48,553.96,512.18,148736992,-0.24
5/30/2016,533.86,528.47,544.35,522.96,87958704,1.02
5/31/2016,531.39,534.19,546.62,520.66,138450000,-0.53
6/1/2016,536.92,531.11,543.08,525.64,86061800,1.09
6/2/2016,537.97,536.52,540.35,533.08,60378200,0.27
6/3/2016,569.19,537.68,574.64,536.92,122020000,5.86
6/4/2016,572.73,569.71,590.13,564.24,94925296,0.53
6/5/2016,574.98,573.31,582.81,569.18,68874096,0.29
6/6/2016,585.54,574.6,586.47,574.6,72138896,1.9
6/7/2016,576.6,585.45,590.26,567.51,107770000,-1.51
6/8/2016,581.65,577.17,582.84,573.13,80265800,0.78
6/9/2016,574.63,582.2,582.2,570.95,71301000,-1.3
6/10/2016,577.47,575.84,579.13,573.33,66991900,0.28
6/11/2016,606.73,578.67,607.12,578.67,82357000,4.85
6/12/2016,672.78,609.68,684.84,607.04,277084992,10.35
6/13/2016,704.38,671.65,716,664.49,243295008,4.87
6/14/2016,685.56,704.5,704.5,662.8,186694000,-2.69
6/15/2016,694.47,685.68,696.3,672.56,99223800,1.28
6/16/2016,766.31,696.52,773.72,696.52,271633984,10.02
6/17/2016,748.91,768.49,775.36,716.56,363320992,-2.55
6/18/2016,756.23,748.76,777.99,733.93,252718000,1
6/19/2016,763.78,756.69,766.62,745.63,136184992,0.94
6/20/2016,737.23,763.93,764.08,732.73,174511008,-3.5
6/21/2016,666.65,735.88,735.88,639.07,309944000,-9.41
6/22/2016,596.12,665.91,678.67,587.48,266392992,-10.48
6/23/2016,623.98,597.44,629.33,558.14,253462000,4.44
6/24/2016,665.3,625.58,681.73,625.27,224316992,6.35
6/25/2016,665.12,665.28,691.73,646.56,126656000,-0.02
6/26/2016,629.37,665.93,665.98,616.93,109225000,-5.49
6/27/2016,655.28,629.35,655.28,620.52,122134000,4.12
6/28/2016,647,658.1,659.25,637.77,138384992,-1.69
6/29/2016,639.89,644.12,644.68,628.28,142456000,-0.66
6/30/2016,673.34,640.59,675.4,636.61,138980000,5.11
7/1/2016,676.3,672.52,686.15,669.59,134431008,0.56
7/2/2016,703.7,676.73,703.7,676.4,112354000,3.99
7/3/2016,658.66,704.97,704.97,649.01,129512000,-6.57
7/4/2016,683.66,658.8,683.66,650.51,92008400,3.77
7/5/2016,670.63,683.21,683.49,665.07,130476000,-1.84
7/6/2016,677.33,670.42,681.9,670.42,134960992,1.03
7/7/2016,640.56,678.09,682.43,611.83,258091008,-5.53
7/8/2016,666.52,640.69,666.71,636.47,141970000,4.03
