timestamp,src_ip,dst_ip,protocol,length,flags
2026-02-26T09:23:34,203.0.113.29,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:35,203.0.113.9,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:36,203.0.113.59,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:34,192.168.1.24,10.0.0.8,TCP,120,ACK
2026-02-26T09:23:50,192.168.1.10,10.0.0.8,TCP,120,ACK
2026-02-26T09:23:35,203.0.113.62,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:33,203.0.113.26,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:35,203.0.113.110,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:34,203.0.113.70,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:33,203.0.113.34,10.0.0.5,TCP,74,SYN
2026-02-26T09:23:36,203.0.113.84,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:33,203.0.113.20,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:36,203.0.113.94,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:36,203.0.113.69,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:33,203.0.113.37,10.0.0.5,TCP,74,SYN
2026-02-26T09:23:33,203.0.113.2,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:34,203.0.113.84,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:36,203.0.113.79,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:33,203.0.113.12,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:35,203.0.113.51,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:35,203.0.113.85,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:34,203.0.113.2,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:35,203.0.113.67,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:33,203.0.113.33,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:35,203.0.113.61,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:34,203.0.113.49,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:35,203.0.113.95,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:33,203.0.113.112,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:34,203.0.113.99,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:35,203.0.113.46,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:34,203.0.113.71,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:36,203.0.113.21,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:36,203.0.113.109,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:55,192.168.1.12,10.0.0.9,TCP,60,ACK
2026-02-26T09:23:35,203.0.113.31,10.0.0.5,TCP,74,SYN
2026-02-26T09:23:34,203.0.113.84,10.0.0.5,TCP,74,SYN
2026-02-26T09:23:35,203.0.113.115,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:35,203.0.113.34,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:34,203.0.113.45,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:35,203.0.113.119,10.0.0.5,TCP,74,SYN
2026-02-26T09:23:33,203.0.113.70,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:34,203.0.113.5,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:33,203.0.113.37,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:33,203.0.113.57,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:34,203.0.113.110,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:55,192.168.1.12,10.0.0.5,UDP,60,
2026-02-26T09:23:35,203.0.113.73,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:33,203.0.113.7,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:35,203.0.113.23,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:33,203.0.113.6,10.0.0.5,TCP,74,SYN
2026-02-26T09:23:35,203.0.113.21,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:34,203.0.113.70,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:34,203.0.113.106,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:35,203.0.113.81,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:33,203.0.113.15,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:36,203.0.113.96,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:35,203.0.113.91,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:33,203.0.113.26,10.0.0.5,TCP,74,SYN
2026-02-26T09:23:36,203.0.113.55,10.0.0.5,TCP,74,SYN
2026-02-26T09:23:33,203.0.113.22,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:34,203.0.113.71,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:35,203.0.113.13,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:35,203.0.113.105,10.0.0.5,TCP,74,SYN
2026-02-26T09:23:33,203.0.113.46,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:33,203.0.113.109,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:33,203.0.113.74,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:58,192.168.1.10,10.0.0.9,TCP,74,ACK
2026-02-26T09:23:35,203.0.113.106,10.0.0.5,TCP,74,SYN
2026-02-26T09:23:36,203.0.113.87,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:57,192.168.1.22,10.0.0.9,UDP,512,
2026-02-26T09:23:34,203.0.113.99,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:33,203.0.113.67,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:36,203.0.113.110,10.0.0.5,TCP,74,SYN
2026-02-26T09:23:33,203.0.113.93,10.0.0.5,TCP,74,SYN
2026-02-26T09:23:35,203.0.113.23,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:35,203.0.113.19,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:33,203.0.113.48,10.0.0.5,TCP,74,SYN
2026-02-26T09:23:34,203.0.113.114,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:36,192.168.1.13,10.0.0.8,TCP,60,ACK
2026-02-26T09:23:34,203.0.113.77,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:33,203.0.113.96,10.0.0.5,TCP,74,SYN
2026-02-26T09:23:34,203.0.113.45,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:35,203.0.113.80,10.0.0.5,TCP,74,SYN
2026-02-26T09:23:33,203.0.113.57,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:36,203.0.113.99,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:34,203.0.113.11,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:33,203.0.113.94,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:34,203.0.113.58,10.0.0.5,TCP,74,SYN
2026-02-26T09:23:36,203.0.113.84,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:33,203.0.113.33,10.0.0.5,TCP,74,SYN
2026-02-26T09:23:35,203.0.113.26,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:35,203.0.113.22,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:35,203.0.113.82,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:35,203.0.113.58,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:33,203.0.113.119,10.0.0.5,TCP,74,SYN
2026-02-26T09:23:36,203.0.113.55,10.0.0.5,TCP,74,SYN
2026-02-26T09:23:35,203.0.113.83,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:35,203.0.113.100,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:54,192.168.1.22,10.0.0.5,TCP,220,ACK
2026-02-26T09:23:33,203.0.113.107,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:35,203.0.113.18,10.0.0.5,TCP,60,SYN
2026-02-26T09:23:34,203.0.113.79,10.0.0.5,TCP,60,SYN
