timestamp,src_ip,dst_ip,protocol,length,flags
2026-02-26T10:43:37.594000,198.51.100.20,10.0.0.5,TCP,60,SYN
2026-02-26T10:43:35.582000,198.51.100.86,10.0.0.5,TCP,60,SYN
2026-02-26T10:43:36.678000,198.51.100.85,10.0.0.5,TCP,60,SYN
2026-02-26T10:43:35.874000,198.51.100.71,10.0.0.5,TCP,60,SYN
2026-02-26T10:43:35.210000,198.51.100.8,10.0.0.5,TCP,60,SYN
2026-02-26T10:43:35.552000,198.51.100.30,10.0.0.5,TCP,60,SYN
2026-02-26T10:43:35.110000,198.51.100.36,10.0.0.5,TCP,60,SYN
2026-02-26T10:43:37.378000,198.51.100.80,10.0.0.5,TCP,60,SYN
2026-02-26T10:43:37.434000,198.51.100.33,10.0.0.5,TCP,60,SYN
2026-02-26T10:43:35.706000,198.51.100.19,10.0.0.5,TCP,60,SYN
2026-02-26T10:43:36.428000,198.51.100.87,10.0.0.5,TCP,60,SYN
2026-02-26T10:43:36.962000,198.51.100.15,10.0.0.5,TCP,60,SYN
2026-02-26T10:43:36.070000,198.51.100.24,10.0.0.5,TCP,60,SYN
2026-02-26T10:43:36.298000,198.51.100.1,10.0.0.5,TCP,60,SYN
2026-02-26T10:43:36.394000,198.51.100.2,10.0.0.5,TCP,60,SYN
2026-02-26T10:43:37.650000,198.51.100.65,10.0.0.5,TCP,60,SYN
2026-02-26T10:43:35.672000,198.51.100.28,10.0.0.5,TCP,60,SYN
2026-02-26T10:43:36.466000,198.51.100.68,10.0.0.5,TCP,60,SYN
2026-02-26T10:43:36.290000,198.51.100.55,10.0.0.5,TCP,60,SYN
2026-02-26T10:43:35.416000,198.51.100.14,10.0.0.5,TCP,60,SYN
2026-02-26T10:43:36.668000,198.51.100.36,10.0.0.5,TCP,60,SYN
2026-02-26T10:43:35.632000,198.51.100.27,10.0.0.5,TCP,60,SYN
2026-02-26T10:43:35.630000,198.51.100.14,10.0.0.5,TCP,60,SYN
2026-02-26T10:43:35.616000,198.51.100.12,10.0.0.5,TCP,60,SYN
2026-02-26T10:43:35.548000,198.51.100.26,10.0.0.5,TCP,60,SYN
2026-02-26T10:43:35.970000,198.51.100.11,10.0.0.5,TCP,60,SYN
2026-02-26T10:43:37.862000,198.51.100.44,10.0.0.5,TCP,60,SYN
2026-02-26T10:43:36.032000,198.51.100.77,10.0.0.5,TCP,60,SYN
2026-02-26T10:43:36.910000,198.51.100.76,10.0.0.5,TCP,60,SYN
2026-02-26T10:43:36.050000,198.51.100.68,10.0.0.5,TCP,60,SYN
2026-02-26T10:43:35.998000,198.51.100.80,10.0.0.5,TCP,60,SYN
2026-02-26T10:43:36.696000,198.51.100.24,10.0.0.5,TCP,60,SYN
2026-02-26T10:43:36.340000,198.51.100.43,10.0.0.5,TCP,60,SYN
2026-02-26T10:43:35.244000,198.51.100.36,10.0.0.5,TCP,60,SYN
2026-02-26T10:43:35.692000,198.51.100.72,10.0.0.5,TCP,60,SYN
2026-02-26T10:43:36.600000,198.51.100.69,10.0.0.5,TCP,60,SYN
