Feature,Importance
DllCharacteristics,0.20754304167268486
DebugSize,0.1274433582327603
DebugRVA,0.12249766096542775
MajorLinkerVersion,0.1142190796776078
MajorOSVersion,0.09109638147442661
ResourceSize,0.08381625306849644
Machine,0.050958917713600185
NumberOfSections,0.04800822671039301
IatVRA,0.04457766176433599
SizeOfStackReserve,0.04223949118076501
MajorImageVersion,0.028536472448448084
ExportRVA,0.013385940666092453
MinorLinkerVersion,0.013113292597180571
ExportSize,0.011785609702039436
BitcoinAddresses,0.0007786121257418576
