,Engine Size,Cylinders,CO2 Rating,Transmission_X,Vehicle Class_X,D,E,X,Z
0,2.4,4,6.0,1.0,2.0,0,0,0,1
1,3.5,6,4.0,3.0,6.0,0,0,0,1
2,2.0,4,5.0,3.0,6.0,0,0,0,1
3,2.0,4,5.0,3.0,6.0,0,0,0,1
4,2.0,4,5.0,3.0,2.0,0,0,0,1
5,2.0,4,5.0,3.0,2.0,0,0,0,1
6,3.0,6,5.0,3.0,2.0,0,0,0,1
7,3.0,6,4.0,3.0,2.0,0,0,0,1
8,2.0,4,6.0,4.0,4.0,0,0,0,1
9,2.0,4,5.0,4.0,4.0,0,0,0,1
10,2.9,6,4.0,4.0,4.0,0,0,0,1
11,2.0,4,5.0,4.0,6.0,0,0,0,1
12,2.0,4,5.0,4.0,6.0,0,0,0,1
13,2.9,6,4.0,4.0,6.0,0,0,0,1
14,4.0,8,4.0,4.0,1.0,0,0,0,1
15,5.2,12,3.0,4.0,1.0,0,0,0,1
16,5.2,12,3.0,4.0,1.0,0,0,0,1
17,4.0,8,3.0,4.0,7.0,0,0,0,1
18,4.0,8,4.0,4.0,0.0,0,0,0,1
19,2.0,4,7.0,1.0,3.0,0,0,1,0
20,2.0,4,6.0,1.0,2.0,0,0,0,1
21,2.0,4,6.0,1.0,2.0,0,0,0,1
22,2.0,4,6.0,1.0,9.0,0,0,0,1
23,2.0,4,5.0,1.0,3.0,0,0,0,1
24,2.0,4,6.0,1.0,3.0,0,0,0,1
25,2.0,4,6.0,1.0,4.0,0,0,0,1
26,2.0,4,6.0,1.0,4.0,0,0,0,1
27,3.0,6,5.0,1.0,4.0,0,0,0,1
28,3.0,6,5.0,1.0,10.0,0,0,0,1
29,3.0,6,5.0,1.0,4.0,0,0,0,1
30,3.0,6,5.0,3.0,5.0,0,0,0,1
31,2.0,4,5.0,3.0,6.0,0,0,1,0
32,2.0,4,5.0,3.0,6.0,0,0,1,0
33,2.0,4,5.0,1.0,6.0,0,0,0,1
34,2.0,4,5.0,1.0,6.0,0,0,0,1
35,2.0,4,5.0,1.0,6.0,0,0,0,1
36,2.0,4,5.0,3.0,7.0,0,0,0,1
37,3.0,6,4.0,3.0,7.0,0,0,0,1
38,3.0,6,4.0,3.0,7.0,0,0,0,1
39,5.2,10,3.0,1.0,0.0,0,0,0,1
40,5.2,10,3.0,1.0,0.0,0,0,0,1
41,5.2,10,3.0,1.0,0.0,0,0,0,1
42,5.2,10,3.0,1.0,0.0,0,0,0,1
43,2.9,6,4.0,3.0,3.0,0,0,0,1
44,2.9,6,4.0,3.0,4.0,0,0,0,1
45,4.0,8,3.0,3.0,10.0,0,0,0,1
46,4.0,8,3.0,3.0,4.0,0,0,0,1
47,4.0,8,2.0,3.0,7.0,0,0,0,1
48,2.0,4,6.0,1.0,3.0,0,0,0,1
49,3.0,6,5.0,3.0,2.0,0,0,0,1
50,3.0,6,5.0,3.0,3.0,0,0,0,1
51,3.0,6,5.0,3.0,3.0,0,0,0,1
52,3.0,6,5.0,3.0,4.0,0,0,0,1
53,2.9,6,5.0,3.0,4.0,0,0,0,1
54,2.9,6,5.0,3.0,4.0,0,0,0,1
55,4.0,8,3.0,3.0,5.0,0,0,0,1
56,3.0,6,4.0,3.0,6.0,0,0,0,1
57,3.0,6,4.0,3.0,6.0,0,0,0,1
58,4.0,8,3.0,3.0,7.0,0,0,0,1
59,4.0,8,3.0,3.0,7.0,0,0,0,1
60,2.0,4,5.0,1.0,3.0,0,0,1,0
61,2.0,4,5.0,1.0,0.0,0,0,1,0
62,2.5,5,5.0,1.0,3.0,0,0,0,1
63,2.0,4,5.0,1.0,3.0,0,0,0,1
64,4.0,8,3.0,3.0,7.0,0,0,0,1
65,6.0,12,2.0,3.0,7.0,0,0,0,1
66,4.0,8,4.0,1.0,3.0,0,0,0,1
67,6.0,12,2.0,1.0,3.0,0,0,0,1
68,4.0,8,4.0,1.0,1.0,0,0,0,1
69,6.0,12,2.0,1.0,1.0,0,0,0,1
70,4.0,8,3.0,1.0,4.0,0,0,0,1
71,6.0,12,2.0,1.0,4.0,0,0,0,1
72,2.0,4,6.0,3.0,2.0,0,0,0,1
73,2.0,4,6.0,3.0,3.0,0,0,0,1
74,2.0,4,6.0,3.0,3.0,0,0,0,1
75,2.0,4,6.0,3.0,4.0,0,0,0,1
76,3.0,6,5.0,3.0,5.0,0,0,0,1
77,4.4,8,4.0,3.0,5.0,0,0,0,1
78,4.4,8,4.0,3.0,5.0,0,0,0,1
79,4.4,8,4.0,3.0,5.0,0,0,0,1
80,4.4,8,4.0,3.0,4.0,0,0,0,1
81,4.4,8,3.0,3.0,7.0,0,0,0,1
82,2.0,4,5.0,3.0,2.0,0,0,0,1
83,3.0,6,5.0,3.0,3.0,0,0,0,1
84,3.0,6,4.0,2.0,2.0,0,0,0,1
85,3.0,6,4.0,3.0,2.0,0,0,0,1
86,3.0,6,4.0,3.0,2.0,0,0,0,1
87,3.0,6,5.0,3.0,2.0,0,0,0,1
88,3.0,6,3.0,3.0,3.0,0,0,0,1
89,3.0,6,4.0,2.0,3.0,0,0,0,1
90,3.0,6,4.0,3.0,3.0,0,0,0,1
91,3.0,6,4.0,3.0,3.0,0,0,0,1
92,3.0,6,5.0,3.0,3.0,0,0,0,1
93,3.0,6,5.0,3.0,3.0,0,0,0,1
94,3.0,6,5.0,3.0,2.0,0,0,0,1
95,4.4,8,3.0,3.0,4.0,0,0,0,1
96,4.4,8,3.0,3.0,4.0,0,0,0,1
97,4.4,8,3.0,3.0,4.0,0,0,0,1
