,Vehicle Class,Engine Size,Cylinders,Transmission,Fuel Type,Fuel Consumption,CO2 Rating,Transmission_X,Vehicle Class_X,D,E,X,Z
0,Compact,2.4,4,AM,Z,8.6,6.0,1.0,2.0,0,0,0,1
1,SUV: Small,3.5,6,AS,Z,11.2,4.0,3.0,6.0,0,0,0,1
2,SUV: Small,2.0,4,AS,Z,9.9,5.0,3.0,6.0,0,0,0,1
3,SUV: Small,2.0,4,AS,Z,10.3,5.0,3.0,6.0,0,0,0,1
4,Compact,2.0,4,AS,Z,9.8,5.0,3.0,2.0,0,0,0,1
5,Compact,2.0,4,AS,Z,9.8,5.0,3.0,2.0,0,0,0,1
6,Compact,3.0,6,AS,Z,11.0,5.0,3.0,2.0,0,0,0,1
7,Compact,3.0,6,AS,Z,11.2,4.0,3.0,2.0,0,0,0,1
8,Mid-size,2.0,4,A,Z,8.7,6.0,4.0,4.0,0,0,0,1
9,Mid-size,2.0,4,A,Z,9.2,5.0,4.0,4.0,0,0,0,1
10,Mid-size,2.9,6,A,Z,11.6,4.0,4.0,4.0,0,0,0,1
11,SUV: Small,2.0,4,A,Z,9.3,5.0,4.0,6.0,0,0,0,1
12,SUV: Small,2.0,4,A,Z,9.6,5.0,4.0,6.0,0,0,0,1
13,SUV: Small,2.9,6,A,Z,12.3,4.0,4.0,6.0,0,0,0,1
14,Minicompact,4.0,8,A,Z,11.5,4.0,4.0,1.0,0,0,0,1
15,Minicompact,5.2,12,A,Z,13.8,3.0,4.0,1.0,0,0,0,1
16,Minicompact,5.2,12,A,Z,13.8,3.0,4.0,1.0,0,0,0,1
17,SUV: Standard,4.0,8,A,Z,14.6,3.0,4.0,7.0,0,0,0,1
18,Two-seater,4.0,8,A,Z,11.5,4.0,4.0,0.0,0,0,0,1
19,Subcompact,2.0,4,AM,X,7.6,7.0,1.0,3.0,0,0,1,0
20,Compact,2.0,4,AM,Z,8.2,6.0,1.0,2.0,0,0,0,1
21,Compact,2.0,4,AM,Z,8.8,6.0,1.0,2.0,0,0,0,1
22,Station wagon: Small,2.0,4,AM,Z,8.9,6.0,1.0,9.0,0,0,0,1
23,Subcompact,2.0,4,AM,Z,9.1,5.0,1.0,3.0,0,0,0,1
24,Subcompact,2.0,4,AM,Z,8.8,6.0,1.0,3.0,0,0,0,1
25,Mid-size,2.0,4,AM,Z,8.8,6.0,1.0,4.0,0,0,0,1
26,Mid-size,2.0,4,AM,Z,8.9,6.0,1.0,4.0,0,0,0,1
27,Mid-size,3.0,6,AM,Z,9.6,5.0,1.0,4.0,0,0,0,1
28,Station wagon: Mid-size,3.0,6,AM,Z,10.0,5.0,1.0,10.0,0,0,0,1
29,Mid-size,3.0,6,AM,Z,9.6,5.0,1.0,4.0,0,0,0,1
30,Full-size,3.0,6,AS,Z,10.6,5.0,3.0,5.0,0,0,0,1
31,SUV: Small,2.0,4,AS,X,9.2,5.0,3.0,6.0,0,0,1,0
32,SUV: Small,2.0,4,AS,X,10.0,5.0,3.0,6.0,0,0,1,0
33,SUV: Small,2.0,4,AM,Z,9.3,5.0,1.0,6.0,0,0,0,1
34,SUV: Small,2.0,4,AM,Z,9.4,5.0,1.0,6.0,0,0,0,1
35,SUV: Small,2.0,4,AM,Z,9.4,5.0,1.0,6.0,0,0,0,1
36,SUV: Standard,2.0,4,AS,Z,10.8,5.0,3.0,7.0,0,0,0,1
37,SUV: Standard,3.0,6,AS,Z,11.7,4.0,3.0,7.0,0,0,0,1
38,SUV: Standard,3.0,6,AS,Z,11.7,4.0,3.0,7.0,0,0,0,1
39,Two-seater,5.2,10,AM,Z,13.8,3.0,1.0,0.0,0,0,0,1
40,Two-seater,5.2,10,AM,Z,15.3,3.0,1.0,0.0,0,0,0,1
41,Two-seater,5.2,10,AM,Z,13.8,3.0,1.0,0.0,0,0,0,1
42,Two-seater,5.2,10,AM,Z,15.3,3.0,1.0,0.0,0,0,0,1
43,Subcompact,2.9,6,AS,Z,11.4,4.0,3.0,3.0,0,0,0,1
44,Mid-size,2.9,6,AS,Z,11.4,4.0,3.0,4.0,0,0,0,1
45,Station wagon: Mid-size,4.0,8,AS,Z,13.7,3.0,3.0,10.0,0,0,0,1
46,Mid-size,4.0,8,AS,Z,13.5,3.0,3.0,4.0,0,0,0,1
47,SUV: Standard,4.0,8,AS,Z,15.4,2.0,3.0,7.0,0,0,0,1
48,Subcompact,2.0,4,AM,Z,8.8,6.0,1.0,3.0,0,0,0,1
49,Compact,3.0,6,AS,Z,9.7,5.0,3.0,2.0,0,0,0,1
