iter	RMSE
0	93798.68416
1	91062.62662
2	88393.3518
3	86007.36923
4	83895.76252
5	81752.72478
6	79928.30499
7	78189.53415
8	76699.41798
9	75306.09061
10	73916.99833
11	72619.45984
12	71513.79709
13	70438.4845
14	69511.76853
15	68619.08148
16	67837.24777
17	66953.34163
18	66256.65955
19	65576.60429
20	64969.02843
21	64394.69318
22	63898.22996
23	63304.5137
24	62791.62695
25	62339.89219
26	61981.32354
27	61576.18525
28	61150.22783
29	60661.12395
30	60356.95769
31	60042.85268
32	59821.47652
33	59501.76665
34	59262.2837
35	59015.71642
36	58823.60798
37	58516.76117
38	58305.7947
39	58074.23202
40	57884.41253
41	57703.37604
42	57512.07971
43	57373.60879
44	57197.62636
45	56832.37385
46	56476.35316
47	56314.77663
48	56200.35827
49	55999.84937
50	55837.69507
51	55693.5667
52	55556.99407
53	55386.3482
54	55228.48117
55	54943.0573
56	54831.19095
57	54691.21088
58	54513.45506
59	54361.69658
60	54271.06199
61	54168.52075
62	54068.72099
63	53976.38747
64	53901.37014
65	53790.19422
66	53698.79122
67	53580.75109
68	53452.17168
69	53332.61828
70	53225.43017
71	53117.41906
72	52897.88956
73	52698.68298
74	52601.85462
75	52397.8168
76	52341.05855
77	52239.52121
78	52170.52135
79	52083.77367
80	52021.04816
81	51956.16416
82	51848.21689
83	51731.4997
84	51604.08771
85	51530.59285
86	51452.81406
87	51267.79834
88	51212.69305
89	51053.97148
90	50983.01736
91	50932.21568
92	50868.32429
93	50793.59487
94	50723.77262
95	50668.40035
96	50608.67742
97	50541.77463
98	50448.99142
99	50339.98396
100	50245.88318
101	50187.80763
102	50092.24767
103	50037.89463
104	49912.50776
105	49866.8531
106	49768.56168
107	49709.40572
108	49668.20358
109	49625.94029
110	49589.13271
111	49529.2085
112	49476.97724
113	49366.69519
114	49307.01425
115	49238.90436
116	49203.13746
117	49137.15183
118	49073.25985
119	49015.448
120	48959.60947
121	48911.58777
122	48802.30622
123	48674.2036
124	48634.88339
125	48600.20355
126	48548.45373
127	48501.08971
128	48433.17862
129	48391.26423
130	48291.00201
131	48211.3549
132	48139.8825
133	48113.32873
134	48063.76026
135	48027.10181
136	47969.92859
137	47895.52787
138	47760.16668
139	47727.1088
140	47691.54056
141	47650.81602
142	47576.98021
143	47531.5666
144	47486.64642
145	47360.07651
146	47289.83307
147	47217.83485
148	47191.2594
149	47160.36407
150	47123.30533
151	47056.53475
152	47007.50727
153	46937.46187
154	46893.83092
155	46849.25691
156	46807.04634
157	46773.05339
158	46726.11404
159	46652.54281
160	46603.96091
161	46512.50076
162	46470.67158
163	46420.51546
164	46350.33776
165	46281.77838
166	46224.68501
167	46181.39865
168	46122.63164
169	46029.21535
170	45990.726
171	45953.19341
172	45910.48163
173	45882.48095
174	45811.78805
175	45783.38789
176	45718.32728
177	45662.36731
178	45626.65711
179	45581.63266
180	45558.29188
181	45537.61374
182	45482.24051
183	45429.10298
184	45367.9257
185	45317.90302
186	45262.4676
187	45229.13637
188	45196.27937
189	45123.03412
190	45089.75649
191	45051.17079
192	44980.66499
193	44957.03081
194	44900.97854
195	44864.26028
196	44814.14925
197	44710.19523
198	44675.63225
199	44636.68307
200	44600.74268
201	44575.30519
202	44554.23424
203	44517.77281
204	44474.81162
205	44424.14359
206	44405.90857
207	44358.09862
208	44305.45977
209	44254.54422
210	44192.41099
211	44140.34205
212	44120.62204
213	44089.70594
214	44059.2285
215	44023.87438
216	43970.47897
217	43917.49331
218	43862.29129
219	43803.70625
220	43772.50293
221	43739.26664
222	43706.8153
223	43676.67587
224	43642.86799
225	43582.14502
226	43547.35793
227	43517.69763
228	43472.68875
229	43439.62629
230	43369.51703
231	43321.55472
232	43289.9337
233	43271.21503
234	43235.1471
235	43221.92185
236	43194.90651
237	43161.5663
238	43141.75677
239	43074.10746
240	43031.61648
241	43010.37635
242	42975.58985
243	42932.34351
244	42903.53965
245	42880.37699
246	42826.69628
247	42773.26903
248	42747.92834
249	42712.71894
250	42680.77152
251	42642.24034
252	42593.00424
253	42566.51852
254	42536.36277
255	42513.88734
256	42474.57948
257	42453.91744
258	42412.56313
259	42380.42236
260	42342.54829
261	42291.08594
262	42264.94853
263	42239.87773
264	42198.04694
265	42172.55648
266	42147.46117
267	42126.06549
268	42090.89531
269	42048.05573
270	42021.67043
271	41988.83746
272	41949.45059
273	41923.15581
274	41908.92084
275	41880.96891
276	41857.65984
277	41845.86808
278	41826.041
279	41800.45191
280	41772.14769
281	41752.90948
282	41731.71474
283	41700.98902
284	41684.46987
285	41645.99933
286	41606.37304
287	41580.31981
288	41551.40491
289	41522.64027
290	41494.98435
291	41466.55581
292	41450.55105
293	41420.02943
294	41391.31498
295	41366.39362
296	41331.96197
297	41314.2874
298	41279.86039
299	41248.44936
300	41225.18102
301	41197.2929
302	41176.5407
303	41154.74859
304	41140.03189
305	41114.24143
306	41092.25988
307	41069.59528
308	41048.2482
309	41033.10245
310	41024.2815
311	41006.07638
312	40990.55298
313	40967.88764
314	40945.90276
315	40915.71199
316	40888.20546
317	40865.04643
318	40827.71145
319	40774.72481
320	40739.98899
321	40693.42785
322	40677.32623
323	40654.72292
324	40631.49762
325	40614.02052
326	40574.00662
327	40537.48568
328	40494.90559
329	40458.76185
330	40427.0576
331	40409.27961
332	40392.81124
333	40373.47608
334	40345.8723
335	40322.11103
336	40290.73528
337	40250.40067
338	40224.7986
339	40204.89204
340	40182.83909
341	40144.48072
342	40127.71085
343	40110.01056
344	40097.29669
345	40072.60416
346	40034.48323
347	40018.00874
348	39999.90798
349	39975.28624
350	39960.52131
351	39940.72111
352	39910.691
353	39891.43786
354	39877.34717
355	39846.98493
356	39812.43299
357	39797.02502
358	39771.72122
359	39757.53116
360	39738.46396
361	39726.10123
362	39704.90855
363	39690.17557
364	39675.80437
365	39648.06314
366	39632.78592
367	39612.37649
368	39594.74436
369	39569.63196
370	39550.35984
371	39531.00593
372	39506.36803
373	39486.74774
374	39465.66186
375	39423.23325
376	39402.49115
377	39381.27148
378	39353.76983
379	39334.63235
380	39314.62627
381	39293.61936
382	39267.98336
383	39255.47024
384	39223.99628
385	39210.65401
386	39178.25273
387	39167.76542
388	39152.28003
389	39112.30509
390	39091.18982
391	39080.69525
392	39066.8743
393	39055.63204
394	39038.41612
395	39021.98733
396	39004.55478
397	38974.66772
398	38949.05835
399	38936.55973
400	38930.63154
401	38906.78448
402	38891.58206
403	38880.65712
404	38850.95864
405	38832.65872
406	38810.40923
407	38798.32625
408	38780.46423
409	38764.82306
410	38743.66025
411	38724.76448
412	38706.03224
413	38688.20012
414	38666.81224
415	38652.17521
416	38630.59168
417	38620.50412
418	38589.05859
419	38566.58972
420	38552.4749
421	38530.32024
422	38516.80715
423	38498.33291
424	38481.06486
425	38464.31023
426	38451.68238
427	38430.2823
428	38413.54649
429	38408.93076
430	38383.32411
431	38366.86261
432	38350.00752
433	38334.00234
434	38313.3173
435	38299.00273
436	38283.83981
437	38269.51117
438	38252.69675
439	38232.41625
440	38208.23128
441	38196.57626
442	38182.07075
443	38165.93173
444	38156.11581
445	38139.4826
446	38125.82988
447	38103.7856
448	38085.71824
449	38072.99154
450	38049.43255
451	38031.38181
452	38009.88542
453	37991.28418
454	37980.48048
455	37953.99824
456	37947.20932
457	37924.43241
458	37911.4885
459	37886.60836
460	37867.71356
461	37845.62064
462	37828.1337
463	37814.22493
464	37806.37249
465	37794.27458
466	37774.92596
467	37760.82008
468	37747.90202
469	37732.86289
470	37719.61151
471	37698.91212
472	37692.11832
473	37678.00207
474	37663.38535
475	37639.02239
476	37625.93942
477	37607.14378
478	37588.83577
479	37578.80577
480	37561.38044
481	37549.38732
482	37525.8545
483	37508.00266
484	37482.10645
485	37468.02222
486	37459.30071
487	37436.83569
488	37426.28821
489	37409.35139
490	37397.89486
491	37388.88705
492	37366.56485
493	37338.76776
494	37318.06444
495	37309.31056
496	37291.87886
497	37280.75846
498	37259.91026
499	37252.6549
500	37229.01002
501	37218.12271
502	37194.34815
503	37181.31205
504	37163.64663
505	37147.30545
506	37135.3479
507	37120.21749
508	37104.65471
509	37090.6105
510	37080.74779
511	37048.83286
512	37036.39305
513	37024.82878
514	37002.87923
515	36993.87953
516	36980.22101
517	36963.23942
518	36932.93511
519	36918.69754
520	36907.42123
521	36901.78424
522	36893.41916
523	36870.01692
524	36862.55162
525	36847.18859
526	36833.90869
527	36821.64149
528	36809.97944
529	36799.91316
530	36785.76869
531	36769.32788
532	36756.60839
533	36742.94145
534	36731.3477
535	36720.81428
536	36716.07417
537	36708.73967
538	36691.16361
539	36672.81698
540	36646.18872
541	36624.15335
542	36611.4544
543	36603.02858
544	36591.89412
545	36573.34168
546	36560.72714
547	36546.24062
548	36525.13125
549	36516.67794
550	36492.04893
551	36481.86542
552	36470.67081
553	36459.88173
554	36446.8008
555	36434.86752
556	36429.96322
557	36412.80508
558	36396.42351
559	36373.21176
560	36356.30141
561	36347.26675
562	36341.84282
563	36329.66634
564	36317.13759
565	36297.37925
566	36288.32846
567	36272.43331
568	36253.86462
569	36245.10401
570	36235.88643
571	36228.83617
572	36221.39899
573	36204.69389
574	36192.33035
575	36173.22706
576	36157.03027
577	36148.94414
578	36131.64257
579	36114.08292
580	36101.95883
581	36093.60537
582	36077.85565
583	36071.30716
584	36065.63252
585	36037.77088
586	36026.43754
587	36011.0587
588	35996.37636
589	35980.11437
590	35968.40229
591	35955.86865
592	35942.29553
593	35930.9514
594	35921.16469
595	35917.3542
596	35906.5985
597	35897.5168
598	35886.05713
599	35870.31882
600	35857.1391
601	35845.99172
602	35838.26704
603	35812.81294
604	35804.35336
605	35786.1532
606	35769.4561
607	35753.27271
608	35746.30369
609	35730.41717
610	35717.38125
611	35692.55935
612	35679.49575
613	35663.08815
614	35651.67086
615	35630.24961
616	35620.09518
617	35601.96519
618	35593.8801
619	35578.50973
620	35571.02242
621	35551.23933
622	35540.08822
623	35529.39808
624	35520.4769
625	35508.65905
626	35494.59962
627	35487.43791
628	35480.85647
629	35463.45836
630	35452.88366
631	35437.23248
632	35425.909
633	35409.71575
634	35398.80127
635	35388.90438
636	35376.74265
637	35363.0717
638	35351.77566
639	35339.11442
640	35323.15605
641	35314.40406
642	35300.59147
643	35286.04776
644	35271.54716
645	35258.94791
646	35251.26248
647	35237.584
648	35229.56509
649	35226.29033
650	35212.85651
651	35201.45874
652	35184.50897
653	35167.71103
654	35155.39189
655	35147.19065
656	35132.41494
657	35116.65021
658	35101.95746
659	35089.20826
660	35078.31021
661	35060.74305
662	35049.37592
663	35042.13034
664	35030.91478
665	35020.43325
666	35008.17164
667	34992.48011
668	34987.38725
669	34975.45987
670	34960.79608
671	34949.75286
672	34937.75641
673	34923.26142
674	34907.2722
675	34897.52351
676	34890.37341
677	34877.68294
678	34867.68093
679	34859.78491
680	34847.01421
681	34831.16119
682	34819.48672
683	34814.42676
684	34804.51671
685	34792.74332
686	34783.69365
687	34774.63288
688	34761.72693
689	34747.01556
690	34736.52686
691	34726.39374
692	34721.85402
693	34704.27469
694	34691.55007
695	34685.78668
696	34676.19607
697	34666.56766
